adr;uhaH aps;u
kukS;ayaH somaD;AnAH
v;Acam am;qtAya
ant;ar mah;An
ket;um div;aH
mahat;aH mah;Ani
vay;am sut;e
cetati ket;uH
yajY;eSu y;e
;aDi emi
ihi arv;AV
vAj;inI pr;AcI
aB;i y;e
sy;Uma iva
k;aH adD;A
vAjini pr;acetAH
;adevAn ;A
;indra svaDAvaH
vidm;a h;i
v;aneSu ;A
yajY;iyAsaH D;Ata
apazyat aB;i
h;ariBiH naH
k;AmaH asm;e
vAm y;ena
n;UtanAya ugr;am
samIk;e iS;aH
;A B;andamAne
y;Ani im;A
pAhi s;omam
;apibaH sut;asya
purAj;Am dr;uhaH
;ahan Ay;ajante
y;at s;omAsaH
gr;AvaBiH sut;am
y;aH v;izvA
B;USan s;a
g;AvaH n;a
arv;Ak indra
;avase n;UtanAya
avantu dev;AH
qt;ena s;ADan
zc;otanti D;ArAH
sapary;an n;avyam
sumeD;AH r;aTaH
syAma durit;asya
qtaj;AH ;adrijUtaH
n;u samAn;AH
;it dy;AvApqTiv;I
s;antaH varanta
hary;antam ;arjunam
daDAti r;etaH
;anu D;arma
;aBajaH mar;utaH
pr;ayutaH v;anA
mAt;uH asy;AH
mah;Ani mah;An
siYcasva jaW;are
s;aKIn sum;anAH
;indram s;omasya
agne ;A
s;omam codAmi
v;i v;AjAH
pr;ati t;An
carSaZ;IH ;A
;aprayuCan ;agne
v;izvA ;ati
s;aH padISwa
v;qSZe s;avanA
suD;uraH j;ihAnaH
pqTivy;E k;AmaH
ukT;inam ;indra
carati niSS;iDam
sut;asya pIt;aye
vid;aTeSu pr;a
tveS;am ugr;am
aBUvan svast;i
y;An vaH
;upa yAtam
vizv;AmitraH y;at
yAcCreSW;ABiH maGavan
s;a puSyati
v;AjAn d;izaH
ut;a nqZ;Am
pr;ayatam zakra
tanvAn;aH yajY;am
g;OH v;izvam
;ekam z;Urasya
m;ADyaMdine s;avane
puroB;UH v;izvA
mUr;AH ;indra
sut;AvataH niSkqt;am
yajY;am ava
t;am rodasI
pad;e tasTatuH
t;amasaH n;iH
suz;ipraH maG;avA
m;AsAH zar;adaH
r;odasI ;agne
vidv;An sas;asya
kqSva ih;a
agne suv;Iryasya
uB;e s;a
et;at v;acaH
n;Ama v;izvAni
v;i BAhi
dUZ;azA rocan;Ani
candr;AsaH ;indavaH
didyutAn;aH saD;asTe
naraH kav;im
im;am mah;e
At;iSWantam p;ari
iy;am asm;e
mAy;inaH kqt;Ani
s;a mitra
aB;i anUSata
kSeti hit;amitraH
tiSWantAm aj;arAH
agn;iH vAvqDe
prajAn;an v;arSiSWam
uB;e ah;am
s;a cetati
g;arBaH mitr;aH
tasTO ;asUta
tvA daDe
aBavaH j;AyamAnaH
d;IdyAnaH sAk;am
manuSy:eBiH agn;iH
zqZv;antu naH
j;anitrIH ;indraH
cakruH agn;im
vAjas;AtamA pr;a
im;e r;odasI
rocanasT;Am uSarb;uDam
ca BUt
avavqtran m;adAya
;amqktaH agn;iH
;indra zrut;asya
ha st;ome
pr;ati m;artAn
im;am yajY;am
Ay;ave sah;asraZITaH
n;amasA jUt;iBiH
Datte ;AyuDam
jaj;Ana st;avE
svaDAvaH am;qtasya
y;eSAm g;aZyA
;upa barh;iH
sv;asArA yuvat;I
y;aH naH
naH m;artasya
v;eH p;Ati
mandr;asya saniSy;antaH
aB;i rAy;A
st;uBaH ;indraH
mah;An carati
vocat dev;An
naH aryam;A
t;e dev;AsaH
aBijY;u ;A
br;ahma kuzik;AsaH
t;ayA ih;a
minanti mAy;inaH
uB;e asmE
g;avyam Urv;am
carati vartan;im
;A citr;aH
k;arikrat sut;AvataH
prayAv;ayan acarat
aBiS;Acam svarv;idam
rAjanti ;asurasya
y;ABiH z;acIBiH
qt;asya y;oge
gamBIr;An udaD;In
qjIS;I ur;um
IS;A v;i
janit;uH ca
h;arI v;qSaZA
;ati carSaZ;IH
pipqhi pAr;am
v;izve pazyanti
kAro zqZavAma
s;a jinvate
s;adA n;avaH
asya m;aDumat
pr;a vAm
vqSaB;aH k;Avyena
rev;at agn;im
v;arDatAm g;IH
agn;im mahayanta
D;anAnAm z;Asat
d;aDAnAH ut;a
UrDv;agrAvAZaH aDvar;am
rakS;asaH ;amIvAH
Asate y;eSAm
ap;asAm p;Avakazoce
z;evam ut;a
v;ipaH r;atnA
vqZakti ;azmanaH
;anDaH aB;isqSwaH
;At u
riS;aH makS;U-makSu
n;a minAti
;indram g;iraH
;api eti
gqBAya ;indra
dy;Am ut;a
turAsaH v;iSZum
n;ityam t;anayam
;apriyAyata kuzik;eBiH
iva dIDaya
;aram sut;eBiH
mAt;A biBqt;aH
agne tanv:A
pratIc;I B;uvanAni
t;apa z;aMsam
im;AH asya
aBimAtih;anam stuhi
ur;um rih;anti
;A ary;aH
h;avamAnAya sADa
te vqSaB;asya
qt;asya paTy:AH
p;ari naH
v;izvam pr;ati
rAsva sah;asravat
saDam;Ade Az;U
tav;ase gAt;um
pad;am v;eH
ca naH
asya saMh;ataH
vivyAca pqTiv;I
;azvinA p;ari
viz;Am kav;im
tr;I sah;asrAZi
asm;in s;avane
ket;uH ant;ar
aDvar;am vipany;ayA
BAn;unA jy;otiSA
y;aTA s;amBqtam
jAt;avedAH Gqt;am
r;ADase DAn;Avantam
p;arvatAn ;adAByAH
;indrAparvatA bqhat;A
pratn;aTA n;Akam
maDyam;eBiH ut;a
kam maGavan
Ag;atya t;umraH
iva papraTe
y;A duduh;e
van;inaH ;indram
akqta svaD;ABiH
pray;akSe mah;An
B;AratI B;AratIBiH
t;ava ;it
vqtrahan im;AH
d;amUnAH mitr;aH
sADa sy;At
k;qtvaH kqD;i
;asat sut;e
tv;aSwAram ;indraH
sut;AvataH yajY;am
z;arma jaritar
jAt;aH ;arocaTAH
div;aH ;apratiSkutam
B;uvanasya r;AjA
y;adi v;arDanti
Bar;itrEH m;aDvaH
me v;asvaH
indra y;eSantI
;asat vaz;I
vay;unAni vidv;An
h;i tv;e
zat;ena mahayAmasi
jy;otiSA mah;Am
jAgqv;adBiH hav;iSmadBiH
amuYcat n;iH
pqSwabanDo agn;iH
akqZvan sv;aDitim
stot;Aram nid;e
j;anima kavIn;Am
pUrv;IH rAy;aH
;adreH m;ahi
n;u praB;USan
durmat;iH p;ari
v;ipraH sumat;im
Diy;A r;aTam
pr;aBUtO BUy;Ama
g;AvA iva
d;adqzre eSAm
Den;U vrat;A
muhUrt;am ;evEH
mah;e s;u
sTAt ;ixAm
dr;aviZAya darzat;aH
asya kal;azaH
viz;Am d;EvInAm
m;aDvA devAH
gir;Am vizv;AyuH
raBas;A v;apUMSi
darzat;am aps;u
y;onim ;anu
sAd;aya yajY;am
jAn;an agne
rAy;A iS;Am
sut;asya agn;eH
qYj;an s;am
k;arat ;it
t;e ;it
;it s;aKiByaH
k;Amyam d;uhAnA
br;ahman aviSaH
h;aryazvAya DAn;AH
g;oH pur;A
giriSW;Am t;am
zak;ema te
u vaso
janayata suz;evam
vakSi v;Ajam
DeyuH h;arayaH
jAt;am y;at
h;iraZyapAZiH savit;A
uttam;aH rocan;AnAm
sukqt;asya y;onO
n;akiH p;qtanAsu
;avivezIH ;aTa
m;adantam pitr;oH
s;am raBante
saMdaD;uH pqSwabanDo
mAt;QH ;ajagan
vAG;ataH Diy;A
Den;avaH vAvazAn;AH
meh;anAvAn B;agaH
tir;aH t;amAMsi
t;asya Ag;atya
pipqkta B;agaH
naH dev;AsaH
v;izvAn ;avase
upakSiy;antaH vay;am
k;uZArum aB;i
s;omam s;uSutam
can;a h;i
h;anti z;uSZam
somapAH somavqdDa
s;acA yajY;aH
;A yajasva
;asurasya jaW;arAt
ukT;EH aB;i
aDUnutam sAk;am
praZin;Aya mahat;e
t;ava h;i
dev;An b;iBratI
t;e asya
;atiTim n;araH
agn;eH azyAma
p;uraMDiH ;anu
;azvAH ;A
y;ajatre p;ari
y;am te
B;ogam sasAna
t;asya ;anu
zr;avaH bqh;at
daDe d;akSiZe
saraZy;an asm;e
ajir;A puruhUt;Aya
;akarma tv;am
s;inDum ;aCa
ray;iH marutaH
padajY;AH purAZy;oH
deva citr;A
hotar mandr;ataraH
UrDv;aH r;aTaH
g;avAziram h;ariByAm
uz;ijam agn;im
;aDi s;umitI
san;oti v;Ajam
p;ari apazyat
;indraH pUrB;it
;asTuH ;atra
;A apqZat
g;amiSWA Ah;uH
saMc;arantI en;A
;ojiSWam te
gavy;avaH s;am
B;uvanAni veda
r;etaH s;a
tvA mamattu
y;avAziram ca
agne tanv:am
naH qBum;antam
jaW;areSu prajajYiv;An
m;A u
;A raBe
dev;atAtaye v;ipram
t;apa u
yaCa tanv:am
vqtr;am jaVGanat
qt;asya y;onA
m;AnuSISu vikS;u
y;ajAmaH ;it
Ixate t;am
aBiB;Uya Am;uSya
m;adAya ;upa
stqZIm;ahi dev;avyacAH
yajAti y;aTA
aj;are ;amqkte
asm;e ;agne
;atra daDe
v;eH t;at
t;am hav;iSmantaH
v;ajrabAhuH ;apa
naH riS;aH
anuSvaD;am ;A
yuv;oH apt;Uryam
ukTy:am ;indram
zqZavan agnijihv;AH
prad;ivaH somap;eyam
AsAm ;indra
g;arBam sanit;uH
s;a pUrvav;at
suSwut;iH deva
agn;iH s;am
mandAn;aH s;omam
g;oH zazvattam;am
m;artasya durmat;iH
r;aTena vAm;IH
;A s;Uryasya
tanv:am juSasva
h;otA vid;aTeSu
h;i balad;AH
j;aneSu paYc;asu
;indra aBimAtiS;Ahye
iva r;odasI
kAr;oH jy;otiH
;indra y;at
y;ABiH mAy;ABiH
Dit;AvAnam yajY;am
sur;aZaH div;e-dive
dev;asya savit;uH
havyav;Aw agn;iH
naH DAt
zl;okam ;adriBiH
agn;iH h;otA
s;omAsaH h;aryazvam
cikitAn;aH ac;ittAn
s;aKiByaH car;aTam
g;oH mah;at
gahi ;A
t;uvidyumna v;arSiSWasya
mitr;asya sumat;O
t;uByam dakSa
n;a p;arvatAH
vIr;AH qt;AvAnaH
v;i daDe
v;iDarmaZi dev;AsaH
pur;UZi ;acetayat
asaparyan ;OkSan
y;at s;amidDaH
saniSy;antaH v;areZyam
mAtar;izvAnam ukTy:am
rAy;aH ;A
hanyate n;a
naH dev;An
prajAn;an y;ayoH
;indrasya k;arma
vivizuH sapt;a
ukTy:am vizv;acarSaZim
ukT;EH sujy;otiSaH
agne tv;at
inDate havyav;Aham
carati vats;aH
dev;EH manuSy:eBiH
s;Ure ;udite
ziv;eBiH mah;An
vqtr;am avqZot
;api Badr;e
akqZot nir;aje
j;anasya kuv;it
sAk;am pibatu
mAtar;izvA ;A
tv;am s;Ure
cam;USu zun;am
s;artav;E Aj;O
agnizr;iyaH mar;utaH
v;asAnAH n;i
havyav;Aham samID;e
devah;UtamaH z;am
v;qSZaH aruS;asya
aVg;a vAm
agn;iH vay;unam
ceti pr;a
vizvaminva tv;e
sam;Acakre vqSaB;aH
pUrv;IH asya
agne p;arvatasya
B;AratIBiH saj;oSAH
vAm gAt;uH
pqtanAS;Aw suv;IraH
iva y;uDyataH
kar;asnA daDiSe
svaDvar;am zIr;am
arocayaH vidv;An
cakarTa vid;aTe
mitr;aH h;otA
vid;aTAni pracod;ayan
;indraH pqTivy;AH
v;izvA veda
cikitvaH agn;iH
t;uBya ;it
;ut nayanti
Den;um c;arantIm
jaritar pur;UZi
s;a vAvqDAn;aH
pAh;i naH
aBavat ;ekaH
mAt;uH up;asTe
k;AmyAH qjipy;AH
m;anTata naraH
s;arasvatyAm rev;at
zc;otanti te
aB;i t;Ani
v;arSiSWam ;anupakSitam
vEzvAnar;aH pratn;aTA
Ga p;ariSkqtaH
m;AsAn ;asiSAsan
t;Ani v;iprAH
am;qtaH m;artyAnAm
n;a zukr;AH
sAD;uH purudr;uhaH
sahasras;AtamaH n;u
any;e aty;AyAhi
naH v;i
ark;aH triD;AtuH
qtv;iyaH y;ataH
dev;AH y;am
Diy;A iSit;A
z;arDanItiH pr;a
s;amidDe agn;O
urukram;aH kakuh;aH
v;qSA citr;eSu
tr;iH uttam;A
t;eBiH et;am
prajAn;an vidv;An
;adroGa saty;am
vqZIm;ahe ;ahrayam
;apibaH ha
pIpaya vqSaBa
pAhi ur;O
adyOt agn;iH
yuvat;iH p;uraMDiH
s;aKAyaH sunv;anti
vEzvAnar;aH kuzik;eBiH
v;anaspate sv;aDitiH
m;anaH ut;a
svapaty;asya zikS;oH
div;akSAH asi
jy;otiH yajY;Aya
Bavanti darzat;AH
p;ari nayanti
zamit;A sUdayAti
;ajasraH Garm;aH
hqd;i tv;Am
agn;iBiH dev;eBiH
mar;utvantam vqSaB;am
suvqkt;iBiH namasy;anti
v;ajram bAhv;oH
kS;ayam pAvak;azociSaH
y;ajamAnAya z;am
mitrAvaruZA Gqt;EH
p;umAMsam jAt;am
r;aZAya p;iba
r;odasI ;A
vizv;avedAH p;arSat
n;avyam kqZomi
pAvak;aH p;unaH-punar
s;a BAn;uH
jaW;are ;indum
p;itryA D;IH
m;adantA t;iSWa
sum;anmaBiH s;a
sahasaH sUno
eSAm y;ena
sum;anAH asy;a
g;Atave agn;iH
iva tm;anA
c;arasi j;iGnamAnaH
B;AqjIkam agn;im
ap;asaH ;aDArayan
usr;iyAyAm padv;at
bqhat;A r;aTena
arAsata br;ahma
aBUvan yajY;Aya
daD;e mAtar;izvA
rudr;An Adity;An
;indrasya carSaZID;qtaH
;indrAgnI navat;im
p;iba rudr;eBiH
duSw;aram ;ut
saD;asTA sinDavaH
vizvadevya r;Asva
gAt;uH dev;AnAm
eSAm s;a
ava tv;am
ha devAH
yug;e-yuge s;a
;azocat ;UDani
pinvasva s;am
vqSaB;aH mar;utvAn
bqhat;aH ca
uS;aH viBAt;IH
me As;an
BrAtar uBay;atra
saMdaD;uH g;iraH
s;a pAhi
asmE ;At
mitr;aH agn;iH
sudyumn;Am rAt;inIm
uS;asaH vy:uSwO
zucivratA gqZAn;A
mahat;e s;OBagAya
B;UyasA sqja
te v;ajraH
yuv;am pratn;asya
;agopAm sady;aH
indra saDam;AdaH
supr;atIkam yajY;asya
arv;Ak tisr;aH
v;qSaZA vIt;apqSWA
p;qSadazvAsaH anavaBr;arADasaH
ca v;asUn
Den;U sabard;uGe
prasav;am B;ikSamAZe
kuv;it me
Gqt;aprayAH saDam;Ade
adyOt v;arSman
ca vAG;atAm
yujAn;aH aDvar;e
praTam;am y;ajaDyE
;ahAni v;anasp;atIn
jAtavedaH cikitv;An
durit;A gqZ;antam
p;iba im;am
supAr;AsaH vasavaH
;oSaDIH ut;a
n;a vyaTete
sUn;um s;anazrutam
tasT;uSaH v;irUpA
vAy;uH n;a
y;aH maDyam;eBiH
D;anAnAm s;a
;A agAt
supraZIte ;agne
;A Bara
triD;AtuH r;ajasaH
pr;ayutAm ;agopAm
yanDi maGavan
zikSema DIt;iBiH
sanazruta prAtaHsAv;e
v;areZyam t;ava
;A gurasva
d;akSasya rAjaTaH
te vAmaB;AjaH
ih;a suzr;iyam
;anIkEH upakSet;AraH
dvit;A t;arati
;A vahAtaH
d;IdyAnaH sumeD;AH
zqZ;otu agn;iH
n;a veD;ase
aB;Ivqtam ;apa
suv;Iram Ar;e
vAvazAn;aH ih;a
sukratU uruz;aMsA
Bava t;uByam
kAr;ave zqZota
asm;At ;ava
vast;A janit;A
pUrv;IH v;qSZe
indra stIrZ;am
mAt;A ca
te m;adAya
r;akSaH maGavan
arcata sab;ADaH
indra zr;avaH
darzat;am m;anurhitam
t;am zuBr;am
asi sm;addiSwiH
dev;EH sar;aTam
qt;uBiH qtupAH
;aVgirAH sady;aH
jIr;ayaH v;anAni
st;ome vid;aTeSu
;it vadema
pqTiv;I yajY;iyAsaH
m;ama ;agne
agn;im Ut;aye
Den;avaH v;qSZaH
p;ari dy;AvApqTiv;I
vadema mah;at
maG;onI uS;AH
ev;a sum;anAH
Erat ;indraH
Gqt;AcI ;A
;aDi zr;avaH
sahasvaH vidv;An
s;a mandasva
;it et;e
;ekam im;Am
;indra qBum;An
sud;AnavaH vr;AtaM-vrAtam
uB;e t;e
p;ari ;upa
agn;im stuhi
rev;atI r;odasI
zy;AvI ca
B;avantIH mah;at
dev;am raTir;am
can;a enam
mAt;arA saMrihAZ;e
;avaH yakSi
t;aruZISu ant;ar
h;arivarpasam ;aDArayat
vid;aTeSu D;IrAH
Druv;e pad;e
s;avanA pur;UZi
candr;araTA sUn;qtAH
Ga y;aH
vizv;avedAH ;qDak
t;ayoH any;at
;A gatam
pur;UZi m;ahi
y;at mah;IH
vqZAn;AH ;invantaH
t;anayAya jIv;ase
mar;utaH y;e
v;asunA ny:qSwe
;anIkam v;izve
;aTa ;aBayam
asi pr;acetAH
B;UreH B;Uri
asm;e suv;Iryam
ket;um ;ahnAm
n;a ;adrayaH
sunIT;AH dy;AvAkS;AmA
sv;EH m;antrEH
pr;a yanDi
piba jihv;ayA
n;a pratijAnat;e
pqTivy;AH pr;a
j;ihAnaH aB;i
ahih;atye maGavan
g;AH pr;a
pitr;e cit
pradakSiZ;it dev;atAtim
Urm;iBiH p;invamAne
Dehi sukrato
p;unar kqZvAn;AH
u pit;qByAm
sIdatam pAt;am
banD;utA naraH
sv;e saD;asTe
mahitv;am sady;aH
;amanTiSwAm B;AratA
tv;e dev;AsaH
tigm;am apazyat
kqZ;ota DUm;am
dev;AsaH ;asahanta
vIr;AH mah;at
yat;asrucaH t;e
duduhre v;izve
hiraZy;ayIm am;atim
jig;Aya uz;igBiH
saparyata tr;IZi
u agn;iH
ukT;EH pUrv;IH
;Ixe agn;im
te taviS;asya
y;at ;indraH
tv;am asmay;uH
sv;aVgA DAn;Avat
d;eva m;artAsaH
juSAZ;A s;omam
qB;uH cakre
te Aditya
avam;A s;adAMsi
d;akSasya t;aruSaH
pacat;aH t;uByam
duvasy;ata d;amyam
p;ari sv;Am
s;inam B;araTaH
k;ulizaH s;am
vip;azyati B;uvanA
ut;a vizv;avedAH
divor;ucaH sur;ucaH
m;anurhitam s;adam
pr;a nIyate
upakSet;AraH t;ava
sacete tamoh;anA
vAm pr;ati
;amqkte sabard;uGe
dy;AvaH indra
haryat;aH yajat;aH
dIdye pUrvy;AZi
t;e AhuH
r;aTe v;ahatAm
divy;ena zoc;iSA
;agne j;arasva
vizp;atim yahv;am
;aBavaH vicakSaZa
dev;An ;aCa
pqTivi v;evidAnAH
mandasva h;i
duhit;A tatAna
syAma asm;e
DIn;Am uz;ijam
t;am juSasva
gop;AH param;am
;A asya
Atatanv;An kr;atum
dy;AvAkS;AmA pqTiv;I
;indra t;Ani
c;etate sahasvaH
;ApaH ray;im
pqTivy;AH kqt;am
;A mandr;EH
t;arati n;qtamam
m;ihaH pAvak;AH
yajY;am v;i
dev;An UciSe
ty;A te
uS;asaH y;Aman
v;AjeSu BUSaTaH
marutaH sazcata
qt;asya vA
zoca mar;udvqDaH
jAn;anti v;qSZaH
yuy;ota naH
;ut g;AH
m;adAya s;omam
sabard;uGe DAp;ayete
aB;i vyayasva
v;qSA mah;I
deSZ;asya DImahi
s;u pUS;A
g;iraH me
n;a putr;aH
palastijamadagn;ayaH dad;uH
bqh;antam p;ari
up;asTe t;am
sy;At naH
;Anaw ;aDvanaH
v;iyute dUr;eante
kav;im vizp;atim
tvA ;Ixyam
;aTa dev;eSu
ih;eha vaH
vid;aTA kavIn;Am
hav;iSmantaH anuSaty;am
zqZvantu dev;AH
triMz;at ca
gop;AH j;anma
n;ava ca
dy;Un d;aza
;A aguH
iSit;aH y;at
ant;arikSAt aB;i
n;imitAsaH yat;asrucaH
kqSw;ayaH somap;AH
;apa ahan
pUS;A avit;A
qtupAH pAhi
v;EzvAnara t;ava
;uSaH pratIc;I
n;Akam ;A
;apyAH tr;iH
am;qtaH duvasy;ati
y;am u
rudr;eBiH s;agaZaH
alAtqZ;aH val;aH
;indreZa dev;EH
t;Uyam asmE
div;akSasaH Den;avaH
im;AH h;i
vizvav;idam havyav;Aham
atas;asya DAs;eH
te kAro
h;otAram pr;a
s;acA ay;oH
BikSanta savit;uH
s;avane h;i
agne sum;anAH
vy:uSwO tv;am
pan;ayanta dev;AH
DAn;Avat ;indraH
tapanti Garm;am
zr;avAMsi v;izvAn
mimIhi s;am
tvaSwar v;i
agnijihv;AH mitr;aH
puSyasi g;AH
syAm agn;eH
suvate ;apravItAH
hotar bqhat;IH
;arSantu ;ApaH
eSi dr;aviZam
div;aH ;aDi
vAm niD;ayaH
;azvam ;araZam
astu p;anTAH
samiDy;amAnaH aDvar;e
;anDasaH r;ADase
t;itikSante aB;izastim
ant;ar Iyate
ut;a vA
sujy;otiSaH naH
v;AjasAtO zqZv;antam
;avaH mimIhi
yaviSWya ;agne
p;ari vqZakti
gIrB;iH ;Iwwe
;uSaH devi
pr;a jAt;AH
saMrihAZ;e samAn;am
te mAt;A
;ati dv;eSAMsi
pr;a vIr;am
te ;arTam
syAma pqtanAy;Un
agne didIhi
ih;a tqmpatAm
s;am rAy;A
net;A praTam;asya
vaso m;A
m;aDUnAm purAZ;am
kalyAZ;IH jAy;A
;ApaH agn;im
avindan paTy:Am
te aznotu
yukt;agrAvA j;Ayate
ny:qSwe zqZv;e
vaH duvasyata
varS;anirZijaH siMh;AH
iC;anti tvA
;aprayuCan ;A
minanti vid;aTeSu
saMt;areyuH gavy;an
te indra
uz;ik dUt;aH
asm;ABiH t;uByam
kr;atunA saMvidAn;e
dev;AnAm aBavaH
any;asyAH vats;am
n;amoBiH ;agne
iva Azata
zukr;A raBas;A
av;IratAyE rIraDaH
mitr;AsaH n;a
d;asyUn aB;iBUtyojAH
daDire harivaH
jaGanTa n;i
suh;astA div;aH
net;A vqSaBa
veda k;aH
;A avas;E
sajAty:am azv;inoH
Dehi v;Aryam
qSayaH nqcakSasaH
p;qtanAsu svar;Ajam
zagmy:ena m;anasA
tqmpatAm toz;A
uttam;A dUZ;azA
v;ahniH duhit;uH
dev;avAtaH sud;akSam
s;am pipeSa
v;qSA u
t;UrZim apt;uram
asqjat vizv;azcandrAH
d;aDAnA y;Am
;A mAt;arA
johavIti r;amaDvam
z;acIBiH camas;An
dev;asya y;anti
;it viduH
y;atate ;A
h;i jagm;uH
z;ipre maGavan
;anu ;ojasA
j;anAH v;Ajazravasam
sum;adraTaH t;asya
yUT;e n;i
durmAy;avaH dur;evAH
svar;Aw asi
v;izve mar;utaH
tvA nUn;am
n;amasA sapary;an
Den;oH ;A
v;asUni pqTiv;I
j;anantI suB;agA
sv;am D;Ama
p;atyamAnaH dev;eSu
D;anAnAm ay;am
P;alam aVk;I
anuSaty;am svarv;idam
vacy;amAnAH devadr;IcIm
r;ajAMsi div;aH
m;artAsaH Ut;aye
jAtavedaH ;agne
aDvar;e dIdiv;AMsam
B;Uri k;qtvaH
vqZe miy;eDe
DAn;AH purox;Azam
vahanti mah;at
;ava sy;Uma
svaDvar;A kqZu
jajYe akS;aram
v;arcaH DAH
n;a k;ulizaH
yunajmi drav;at
Im s;omaH
;anu BUt
vizv;arUpam ;adAByam
suk;qt supAZ;iH
te suSwut;ayaH
B;avaTa v;izve
saty;ataraH yajAti
sah;asravalzAH v;i
indra zukr;am
g;uhA baBUva
agn;im s;am
sahasaH jAtavedaH
dAz;uSaH sv;e
v;i ;Aza
;atuSwavam vizv;Amitrasya
rayIZ;Am dAtr;am
m;aryaH y;uvaBiH
;adaDuH m;artye
naH et;A
j;Ayate dev;akAmaH
zikSa svapaty;asya
dyum;antam n;i
pUrv;IH ;ati
;ixAyAH pad;e
vqSaB;asya mUr;AH
;aBaktam cit
te ;ojaH
p;arvatAnAm p;Ati
d;Idyatam bqh;at
bADit;aH m;artyeSu
v;asUnAm im;am
j;aramAZam div;e-dive
D;Anam akt;oH
rip;aH ;agram
D;IrAsaH kav;ayaH
jAtavedaH saD;asTAni
pit;uH janit;uH
v;ipraH yajY;asya
puSyati s;a
t;am ;A
Ayat;Im agne
mayoB;unA t;uvidyumna
duvasy;ati ;aTa
agn;iH ap;Am
biB;eda val;am
y;ajatrAH Ayemir;e
Ap;iH eS;aH
iva pray;AH
iC;amAnAsaH ;Apyam
jam;adagnidattA ;A
;aTa ca
ganDarv;An ;api
tvA DanaMjay;am
t;aruSaH v;iDarmaZi
Ut;I vEzvAnar;am
g;iraH y;asmin
dev;AsaH cit
;agne ;indraH
v;aktvAnAm mex;im
pur;Am darm;aH
t;ava kr;atvA
I vivyAca
;indraH t;at
y;ena ant;arikSam
s;omAsaH praTam;AH
m;artAH agqBZata
rAy;e uz;ijaH
jy;otiH n;ihitam
pr;ati ;ut
yAtam arv;Ak
n;ama:uktim juSasva
indrAvaruZA y;azaH
apqZAH j;AyamAnaH
ark;am hqd;A
r;Asva sumat;im
gatam duroZ;e
t;aSwA iva
t;at ;indrasya
m;aDumatI sumeD;AH
piba Ag;atya
bAh;U zUra
c;etanaH ay;A
naH uS;asaH
manIS;Am ;atyaH
kqDi zagD;i
;asUdayat suk;qte
v;qSaDUtasya v;qSZaH
ap;aH cit
asi tm;anA
drav;at y;aTA
yajY;iyam BAg;am
p;ATaH priy;A
;asTAt v;apUMSi
y;at ha
mahitv;A puraMdar;aH
agn;im itT;A
jarAmahe ut;a
vA y;e
;A vqtraGn;e
vay;unam ca
m;AtrABiH mamir;e
sumat;iH BUtu
anuSvaD;am m;adAya
y;at stot;A
k;arma s;ukqtA
yAhi adrivaH
pqkS;AsaH svaD;ayA
dev;aH tv;aSwA
p;qTak vr;ajantIH
avqYjan tr;I
;antarAn am;itrAn
Ut;aye yajatra
kv:a ty;A
qt;AvAnaH iSir;AH
tok;Aya t;anayAya
vqj;ane virapz;I
et;A v;qSaZA
v;aso n;eSi
v;Ajavantam tvA
iva c;AruH
z;ucim ark;EH
;aCa p;atim
raTir;am vasUy;avaH
n;a jIyate
tanv:am p;ari
jam;adagninA y;onO
v;izvam ;ekam
pariS;adaH jaGAna
s;Uryam hary;an
vay;am vqSan
anax;utsu naH
savit;Aram v;iprAH
m;aryAya iva
y;ataH vIr;aH
vaha purukSo
taviS;asya pr;a
devaj;AH dev;ajUtaH
iva pr;a
me vivikv;An
savit;uH vay;am
sut;am daD;e
v;qSA v;izvam
pitr;oH up;asTe
j;anAnAm ;asat
vIr;asya n;u
jahn;AvyAm p;unar
ket;um yajY;AnAm
t;An devaz;aH
zuBr;e mAt;arA
n;a dUduSat
dUduSat ant;ar
aB;idyavaH hav;iSmantaH
g;avAziram y;avAziram
Barata bqh;at
Imahe vEzvAnar;Aya
aBUSan zr;iyaH
c;atuSpade ca
v;qSaZam saKAyaH
t;ava ay;am
v;ipratamaH saKIy;an
st;omataSwA jigAti
ukT;eBiH kuv;it
;A juhota
p;ari h;otar
vizv;AhA z;atrum
sv;e ant;ar
aBip;Asi mAnuSa
;A ca
sAk;am s;Uryam
;A tatanTa
t;at t;u
t;ejamAnaH praZin;Aya
ugr;am Ut;aye
y;AH rocan;e
raBe te
s;acA dev;eBiH
b;ADasva dviS;aH
n;Akam qSv;aH
;aVgirasaH v;irUpAH
y;ataH naH
;anu saMc;arantI
n;a r;odasI
v;AjeSu DIyate
s;omam n;a
yajY;am ih;a
barh;aZAvat zun;am
yanti vizv;ataH
yam;A cit
ukTy:am ;A
ca g;arBam
ojAy;amAnam tuvijAta
;ekam v;i
namasy:aH tir;aH
;indraH sut;am
huve saj;itvAnA
agn;eH piba
turAS;Aw aB;iBUtyojAH
;aDi zr;avAMsi
suv;Iryam sv;azvyam
;avasaH n;Utanasya
p;Ati priy;am
mah;An ugr;aH
vaha mAd;ayasva
kqZavAva j;uSwam
z;armAZi vIt;aye
ca tv;Am
dy;uBiH hinvanti
y;onO srav;aTe
;indraH h;ariDAyasam
saj;oSAH indra
cakruH s;adanam
s;aKiByaH iSit;aH
mar;udvqDaH ;agne
dvit;A ca
d;izaH s;UryaH
